N TIME
15595 77658
30569 853723
24891 1604134
50835 1930685
10570 79765
30318 78541
27039 365689
62532 1414097
39595 1681450
58160 2946142
42557 2146074
64309 2389971
20718 862596
51771 1236843
42513 2307012
5654 72728
28274 174056
46654 1196611
7293 109178
25765 123735
45491 2154229
40137 813563
57243 1577106
36514 2039641
45802 541029
49195 2416212
47966 2725660
15230 191791
46638 2495870
45936 2524677
5410 220197
5394 140921
28580 2213155
32056 478801
8101 483208
48849 3783177
60648 155018
40493 1674570
12145 399403
59889 3885824
15730 1146477
3244 185187
25859 291830
13303 645922
56779 3321794
60915 3504636
54269 3064860
59920 3210531
60426 1379612
31399 515001
778 42057
10211 174802
27808 1980743
16734 1056626
59609 2451631
19124 863326
50892 2858322
45175 735526
11782 257054
53892 1910658
24439 1138756
26563 2042489
13965 112197
42947 1406829
49655 1961765
57791 1941940
3342 102973
64193 4022482
7544 98597
2455 166395
37845 533959
39364 3024136
28422 914522
45753 425095
46953 1962420
29073 2060754
48353 119855
48632 3529415
30790 1067470
4915 276004
14584 406739
61398 1453326
44724 3111525
31492 1712969
14432 256293
58182 1643351
51382 202040
44605 2045282
28243 340090
57445 1291060
4754 40242
31281 69597
34763 2714551
19050 882736
57429 482553
49143 1986655
11986 201912
20973 620685
47755 3224423
17916 464431
15368 821006
50784 3310860
56702 17018
44212 1583488
13360 47100
29961 736366
43824 1132298
22698 29353
50138 2838047
15719 280570
24108 1080629
35769 993370
15819 1064945
5151 180626
49927 263171
27788 1984544
26068 752914
13412 955243
30609 589707
63239 5042586
60416 3513003
64993 1284450
31472 627242
31351 2071884
26378 341979
46109 339419
39454 181844
15210 687325
8151 267367
16160 638310
34765 2249177
45737 713201
27109 1344236
45332 2407094
27649 161377
33618 1390030
16182 74501
45807 1560186
31801 30710
64766 1079314
23486 140858
28266 721555
35361 2119359
8355 395966
2120 40067
2644 20824
47797 3709865
26714 890259
40784 1640715
47773 264011
42981 1328370
35050 1597122
491 31723
54763 1420509
54789 3546879
27150 97866
3957 242682
29498 2123282
54012 3580323
26192 56763
29050 1820205
39746 2709405
8925 597696
60997 94958
34419 1889919
21304 1610796
30377 497290
15693 715095
27928 1976838
23881 1196261
51274 2570246
44566 578980
63462 407407
37529 1422021
48478 2001145
25611 939840
26116 1603448
23032 1752584
22338 1611093
61614 1002161
25441 1719614
18202 412699
37159 1659986
44797 1622123
5671 242998
19628 438232
7314 143585
40242 2169212
63416 743768
4727 144827
31629 663960
46382 1660367
21502 1020695
33088 1812876
25160 221136
22355 1468969
23161 765742
59807 1869556
36161 1047719
31636 2399888
47921 888229
48881 650088
43423 2545407
25153 98178
33977 1073712
4491 224473
405 7153
47361 2687584
48259 188879
34704 1369726
57212 2414119
55841 1481235
49331 2506874
10516 538833
36704 1400097
63933 1975314
50190 1316702
7348 5073
65373 543522
44652 2094995
42267 2049165
45794 183645
39655 686995
52256 2643111
40917 984526
20412 38119
34518 2733959
52816 2328697
20952 718200
38717 2603984
59948 2084981
61108 3618365
5584 192372
61345 1922560
40141 2241522
30517 1935938
31421 170158
44469 3279065
53262 2477722
26242 197880
39041 225056
9937 709741
46793 1507925
55450 3592809
39614 3038730
51550 2731334
10040 91222
6387 304599
46901 2668474
37221 2398378
3799 189356
43456 2023158
31893 625546
35307 1668739
61838 3258222
58550 958559
32526 1292790
10973 192398
10957 594928
29068 834427
7716 304473
63375 1425887
48000 3449433
41831 3172892
63468 4862610
22297 463732
29031 2006151
29469 1369205
57202 242848
53035 2649578
22364 407482
36213 1712291
33056 1914733
33955 1039070
45743 1739312
57193 723537
24057 960379
19724 244536
13367 688954
35312 113465
7740 417325
17352 823305
44847 2710974
57578 3919095
27947 103845
40803 1850725
36425 1481939
37026 1948795
15718 604532
14196 111730
50564 3402409
22998 711742
32738 2225581
62152 3991740
19381 1137101
3555 165812
47463 350627
27219 984937
59763 2872006
57258 3062592
9728 559403
16328 539133
28297 2076192
33344 2315413
54738 3154401
52701 2363839
32476 2087751
40878 584853
40862 2425044
41808 2467246
24503 1925672
61084 589499
36446 822538
15161 1094669
15130 213333
49658 2201064
32289 2233122
628 23270
52295 1485080
24185 572467
10829 675231
57947 341907
62892 3230807
22853 905397
33912 1444097
36478 706156
25771 413593
57999 509057
25178 338716
34946 1939821
36454 2605603
53735 300091
44687 1793434
62156 882571
40067 3075661
23138 820784
90 3949
55769 1542994
14397 220837
65140 1646933
1095 19246
33308 50972
46450 176989
47720 250941
56277 632173
29652 1653734
35241 1843250
57457 2792616
12919 493043
3660 229117
13518 1027562
48784 2459699
41294 1097143
37393 1263024
58917 2260632
18372 474981
8685 271102
31769 624063
13553 587997
51121 3413078
42009 1950020
43269 14543
25914 301454
53236 2755483
35234 2335691
48843 1460324
16150 974903
27210 182417
23671 1148148
47607 1912339
12172 102849
50839 1443180
23606 560552
162 9258
12982 824735
32809 1124182
25023 1993070
3036 204352
36072 1374107
39475 879990
28797 364547
23534 88347
16183 502913
16212 484547
40971 2830232
40247 1138948
56544 310996
14646 239533
12159 372168
16092 973998
22407 550610
1996 106858
19229 337079
44240 2552951
20503 515067
10658 665427
43208 1544906
30559 2027964
3907 117779
30643 292920
10620 836726
6747 396932
9076 517456
49244 3081697
16081 67373
13151 10632
55842 2086543
60956 510780
22991 1264299
64999 3096375
36617 2588055
847 51529
44340 3295450
52448 3782915
11438 151628
32519 597575
25894 1227535
61414 3635446
56632 2404050
16510 718597
29435 2538
533 30910
38977 2427757
8137 481359
56313 2687467
46346 475032
63920 618014
8672 45975
64491 4066502
35138 2353857
32729 1394505
59138 208349
54448 2820148
54819 1187596
52869 1875173
18518 1041469
23484 963233
61551 2234786
43494 1407889
21394 1252372
45778 3239419
3125 72269
53030 594270
60371 1160172
30078 441378
65257 274694
63206 3589756
53856 805097
23541 641482
35861 1463563
22759 763333
62001 1085122
11362 147458
11245 852833
41031 2251064
13741 206909
48805 2577570
53231 3802129
4877 67117
19476 1287444
40428 2622227
12083 174253
63592 790931
18381 1150929
59648 1022017
6149 174136
50408 3661334
25736 1849654
10223 702324
5940 162286
28725 1061518
44024 3132421
11435 114012
44510 905676
50384 2576281
55602 549268
36678 432499
4452 235241
9143 302670
5064 194674
8243 155459
239 3713
41842 3175502
27519 776612
63963 2710632
12936 411058
11547 775179
64555 4368207
5033 271427
27705 1530864
1888 26417
40711 2969909
65123 103201
34998 1479297
18882 866041
5602 85383
23489 545133
51118 11059
39557 2004474
13384 155642
44780 1498586
6119 228061
29214 890624
25112 73586
46419 893747
60825 2264817
64211 3180501
46021 2314022
47875 1064339
60489 3854428
41494 3074093
54136 2093527
31023 1723243
4287 64906
20499 1394428
61234 2602822
58477 4103709
45262 1827955
50876 2852048
1759 64288
28824 924923
10835 647850
27417 564195
60562 4230583
29875 786983
64767 2955915
64028 2310541
5626 199996
43944 1767429
24159 81626
33449 2475755
65189 199171
49246 2540293
7229 373250
13460 340429
45448 1350688
36697 1814125
28071 82892
3371 2550
36459 63736
25819 320485
3941 213786
45105 773452
38850 1063306
15246 470264
34240 1760860
39909 1869991
59915 2092582
24908 542040
62969 952067
32922 1265459
36869 1533793
60108 2667415
53406 1335481
30520 1011368
41756 2039518
11745 561587
63790 1887929
46164 176573
14887 676890
16907 272663
49 4243
62358 2683975
7986 92192
44218 1151947
1029 6631
34555 2087605
63103 2824768
61208 2664072
18084 1258984
44922 2481880
47707 1084203
14687 30263
11582 446808
50096 1230972
29383 2230374
15265 605354
13293 986724
13624 478002
25223 983771
19361 1329070
63406 2249140
44775 3057959
2415 117609
9159 154036
63660 4572659
2193 32211
15995 967548
31100 2328716
18643 1076983
8527 474509
34982 82281
45102 2756089
19218 99745
2191 78262
22273 92602
14260 291432
27321 1984715
47446 231038
1935 123467
16014 324310
31899 1361757
25337 188450
33731 2279239
31563 801508
44391 72953
51365 2235195
30356 1233455
24890 1199495
28920 649643
24781 704812
3575 236222
17547 1318998
49279 719102
17231 897795
32234 1686231
11537 572467
58715 3638274
51152 315601
51252 1994974
29634 532225
28316 828327
42605 2921778
28061 1908879
34250 223559
14633 802503
